Billion,iso3,population,Share_N,Share_perc
HPOP,BEN,13124347,1309176.0825495026,9.98
HPOP,BFA,22720842,2335600.28370444,10.28
HPOP,BGD,169431797,25971308.56857474,15.33
HPOP,BGR,6792227,827407.8909984819,12.18
HPOP,BHR,1811996,98955.85380065569,5.46
HPOP,BHS,404048,27519.697925041168,6.81
HPOP,BIH,3237054,500935.3719182968,15.48
HPOP,BLR,9419494,997762.5295922664,10.59
HPOP,BLZ,419429,56596.07734084268,13.49
HPOP,BOL,12151990,1760454.0132170813,14.49
HPOP,BRA,216641839,18364501.617391385,8.48
HPOP,BRB,288314,33406.58278731731,11.59
HPOP,BRN,449169,25372.02769303271,5.65
HPOP,BTN,795731,117333.3017066306,14.75
HPOP,BWA,2483754,401920.00765489263,16.18
HPOP,CAF,5119136,513593.88991157664,10.03
HPOP,CAN,38704479,2917961.375988754,7.54
HPOP,CHE,8829560,586233.1736217948,6.64
HPOP,CHL,19249347,1890044.3298746552,9.82
HPOP,CHN,1460457635,215578804.15846813,14.76
HPOP,CIV,28444206,4374182.105793618,15.38
HPOP,CMR,28608129,4389237.313318117,15.34
HPOP,COD,98151951,9906610.617275039,10.09
HPOP,COG,5940746,1016544.8623087987,17.11
HPOP,COK,17566,2063.3068552700565,11.75
HPOP,COL,51672846,6184179.171711843,11.97
HPOP,COM,926492,105015.98905489864,11.33
HPOP,CPV,573322,80994.44422512833,14.13
HPOP,CRI,5223972,486369.56038312556,9.31
HPOP,CUB,11291378,1165639.9090909085,10.32
HPOP,CYP,1230792,126592.90170558954,10.29
HPOP,CZE,10745888,820316.607714853,7.63
HPOP,DEU,83774541,5392963.527271499,6.44
HPOP,DJI,1029701,124007.62294074104,12.04
HPOP,DMA,72514,9109.193619751826,12.56
HPOP,DNK,5856937,368704.9768635635,6.3
HPOP,DOM,11155917,1500766.9429159968,13.45
HPOP,DZA,46053477,4835344.652466613,10.5
HPOP,ECU,18324151,2252138.433871621,12.29
HPOP,EGY,108031556,12885353.96584521,11.93
HPOP,ERI,3727656,434734.92118219525,11.66
HPOP,ESP,46679284,2944521.508026056,6.31
HPOP,EST,1317216,88819.85620225607,6.74
HPOP,ETH,123771387,11644373.19766684,9.41
HPOP,FIN,5560627,300559.80652803596,5.41
HPOP,FJI,916131,156642.21289376484,17.1
HPOP,FRA,65745189,5642892.49087463,8.58
HPOP,FSM,118708,14789.887041360365,12.46
HPOP,GAB,2383905,376622.7484713608,15.8
HPOP,GBR,68765935,3816662.180193509,5.55
HPOP,GEO,3956337,548637.3305327916,13.87
HPOP,GHA,33062741,5111625.299951923,15.46
HPOP,GIN,14238716,1359208.7983304807,9.55
HPOP,GMB,2631251,245806.03179041698,9.34
HPOP,GNB,2111612,207214.5304987226,9.81
HPOP,GNQ,1543389,262271.57940872875,16.99
HPOP,GRC,10261734,756890.0717992495,7.38
HPOP,GRD,113903,14388.76598179653,12.63
HPOP,GTM,18917714,3048555.882628085,16.11
HPOP,GUY,797711,123733.41367439601,15.51
HPOP,HND,10379104,1000454.9996549732,9.64
HPOP,HRV,4037691,602794.4878025888,14.93
HPOP,HTI,11817963,1345645.5920136217,11.39
HPOP,HUN,9576767,852745.3402314644,8.9
HPOP,IDN,281844348,42360075.26545854,15.03
HPOP,IND,1419655800,192485605.31411076,13.56
HPOP,IRL,5051614,435215.73923144204,8.62
HPOP,IRN,86975821,8458186.80837357,9.72
HPOP,IRQ,43170808,5069133.796802136,11.74
HPOP,ISL,347380,25968.372745161356,7.48
HPOP,ISR,9055151,528966.8203123279,5.84
HPOP,ITA,60147515,3923561.175056241,6.52
HPOP,JAM,2995999,374829.2390490246,12.51
HPOP,JOR,10312321,879613.2292821618,8.53
HPOP,JPN,125081316,7149205.705538615,5.72
HPOP,KAZ,19407012,1406336.212605731,7.25
HPOP,KEN,57458890,6140334.721759318,10.69
HPOP,KGZ,6824517,1070751.5412874084,15.69
HPOP,KHM,17385668,2688830.809274907,15.47
HPOP,KIR,125501,15147.061153225064,12.07
HPOP,KNA,54175,4658.13558806401,8.6
HPOP,KOR,51343973,3440524.6468554675,6.7
HPOP,KWT,4427849,211614.8506391144,4.78
HPOP,LAO,7580608,1132215.5696192952,14.94
HPOP,LBN,6585116,815243.6754141975,12.38
HPOP,LBR,5432272,571214.6437796006,10.52
HPOP,LBY,7118656,638133.5325320244,8.96
HPOP,LCA,185771,23095.640251864348,12.43
HPOP,LKA,21648987,3286133.225070848,15.18
HPOP,LSO,2192400,367482.73949967144,16.76
HPOP,LTU,2636852,239905.80363984327,9.1
HPOP,LUX,648973,43766.794553874584,6.74
HPOP,LVA,1831650,181572.06381128842,9.91
HPOP,MAR,38193551,4475853.893975654,11.72
HPOP,MCO,40042,2395.1440381996154,5.98
HPOP,MDA,4001345,429574.266560383,10.74
HPOP,MDG,29942591,3523537.168392261,11.77
HPOP,MDV,534669,53134.1875889193,9.94
HPOP,MEX,132833768,18948116.23650928,14.26
HPOP,MHL,60520,9110.421623176604,15.05
HPOP,MKD,2079337,310192.8611955819,14.92
HPOP,MLI,22105727,2161572.6357139973,9.78
HPOP,MLT,445228,27262.08717787649,6.12
HPOP,MMR,55663658,9525893.191410162,17.11
HPOP,MNE,627766,75280.72234816391,11.99
HPOP,MNG,3424876,589937.5762758639,17.23
HPOP,MOZ,34034812,3369583.472207017,9.9
HPOP,MRT,5030233,748075.2705443773,14.87
HPOP,MUS,1275657,128167.11460485194,10.05
HPOP,MWI,20728157,2260302.2631365997,10.9
HPOP,MYS,33579264,2638988.8847497404,7.86
HPOP,"NAM",2680497,463634.51440281124,17.3
HPOP,NER,27066230,2009098.861862198,7.42
HPOP,NGA,222182400,26726213.765309583,12.03
HPOP,NIC,6855178,1106131.3924767105,16.14
HPOP,NIU,1619,204.62538307470876,12.64
HPOP,NLD,17249269,933202.1591194071,5.41
HPOP,NOR,5558026,456483.8215277673,8.21
HPOP,NPL,30769709,4573216.8446482,14.86
HPOP,NRU,10918,1326.2798902873749,12.15
HPOP,NZL,4934976,352035.1355828683,7.13
HPOP,OMN,5412488,479363.7816404241,8.86
HPOP,PAK,233757257,38454101.87733402,16.45
HPOP,PAN,4510970,519648.94192940765,11.52
HPOP,PER,33966046,5102941.489173415,15.02
HPOP,PHL,113964103,19646378.44600604,17.24
HPOP,PLW,18281,1755.9525485066802,9.61
HPOP,PNG,9466431,1021705.1869624901,10.79
HPOP,POL,37674031,2844620.2433033143,7.55
HPOP,PRK,26089814,3228923.48564608,12.38
HPOP,PRT,10114017,876618.0073603455,8.67
HPOP,PRY,7391010,1289068.7132348,17.44
HPOP,QAT,3028940,164799.02286361164,5.44
HPOP,ROU,18944132,2839232.168129869,14.99
HPOP,RUS,145628574,22666500.320894837,15.56
HPOP,RWA,13924498,1482604.4675428856,10.65
HPOP,SAU,36329422,2889781.7415505955,7.95
HPOP,SDN,47095255,7542919.60314455,16.02
HPOP,SEN,18116526,2452264.6766065382,13.54
HPOP,SGP,5990292,237272.39010702755,3.96
HPOP,SLB,738416,93093.69665458576,12.61
HPOP,SLE,8472212,823627.9605036157,9.72
HPOP,SLV,6581790,731887.1267428659,11.12
HPOP,SMR,34153,3250.2597200307646,9.52
HPOP,SOM,17339387,1539824.8320306917,8.88
HPOP,SRB,8604998,1392458.6324961644,16.18
HPOP,SSD,11891023,1236002.6149955434,10.39
HPOP,STP,232132,30034.47729046006,12.94
HPOP,SUR,601750,70698.3430522881,11.75
HPOP,SVK,5458099,509938.0782696525,9.34
HPOP,SVN,2076868,195656.4266981147,9.42
HPOP,SWE,10275854,597566.9554564367,5.82
HPOP,SWZ,1197512,163599.0028609261,13.66
HPOP,SYC,99912,10090.704337035157,10.1
HPOP,SYR,20638284,2344205.8718747487,11.36
HPOP,TCD,17921183,1712759.9218147732,9.56
HPOP,TGO,8886635,975628.200689391,10.98
HPOP,THA,70182829,9648409.70009779,13.75
HPOP,TJK,10161632,1526733.3109522844,15.02
HPOP,TKM,6283194,618212.0419400932,9.84
HPOP,TLS,1395057,212587.03687025973,15.24
HPOP,TON,108663,15917.315319436082,14.65
HPOP,TTO,1409175,126406.20713945529,8.97
HPOP,TUN,12151571,1107655.2317863514,9.12
HPOP,TUR,85957260,9471782.477970844,11.02
HPOP,TUV,12211,1573.8559908903915,12.89
HPOP,TZA,65136238,8530959.936793907,13.1
HPOP,UGA,49700758,5149894.65069229,10.36
HPOP,UKR,42911306,4709425.7321848255,10.97
HPOP,URY,3506374,298135.4408400169,8.5
HPOP,USA,336679231,23283247.65241803,6.92
HPOP,UZB,34809375,4690407.585605669,13.47
HPOP,VCT,111806,12543.137529191106,11.22
HPOP,VEN,30016606,3045908.4784798883,10.15
HPOP,VNM,99698631,17509566.66650626,17.56
HPOP,VUT,329249,41116.17080489993,12.49
HPOP,WSM,204568,32218.25890609205,15.75
HPOP,YEM,31818240,4226546.546520887,13.28
HPOP,ZAF,61452696,8424735.120643253,13.71
HPOP,ZMB,20032801,3086387.9880657424,15.41
HPOP,ZWE,15581023,2192083.5714614512,14.07
HEP,AFG,41681232,9882234.574445453,23.71
HEP,AGO,36148636,11000576.52796428,30.43
HEP,ALB,2858418,338193.41601306474,11.83
HEP,AND,77576,7902.9565869013395,10.19
HEP,ARE,10165150,470141.91549872485,4.63
HEP,ARG,46409173,11841082.163842253,25.51
HEP,ARM,2974770,298022.9258027037,10.02
HEP,ATG,100272,12033.151829052711,12
HEP,AUS,26343073,1955069.7286033924,7.42
HEP,AUT,9081181,1393979.879597515,15.35
HEP,AZE,10370490,881197.1697361553,8.5
HEP,BDI,12999141,1957444.3117059476,15.06
HEP,BEL,11699400,1016587.7782436555,8.69
HEP,BEN,13124347,2926131.2484454354,22.3
HEP,BFA,22720842,3747789.2024596627,16.49
HEP,BGD,169431797,19161143.20068741,11.31
HEP,BGR,6792227,872503.4532659524,12.85
HEP,BHR,1811996,112761.52562293883,6.22
HEP,BHS,404048,64164.10304289401,15.88
HEP,BIH,3237054,779412.9655268532,24.08
HEP,BLR,9419494,916178.2323516755,9.73
HEP,BLZ,419429,51332.55963588799,12.24
HEP,BOL,12151990,2159442.9044665364,17.77
HEP,BRA,216641839,37515862.45139397,17.32
HEP,BRB,288314,39560.87380662962,13.72
HEP,BRN,449169,41375.918512597265,9.21
HEP,BTN,795731,95919.72185753156,12.05
HEP,BWA,2483754,284514.83272243,11.46
HEP,CAF,5119136,1334833.8001366577,26.08
HEP,CAN,38704479,3003317.793745034,7.76
HEP,CHE,8829560,549468.4625017261,6.22
HEP,CHL,19249347,2108891.403584285,10.96
HEP,CHN,1460457635,71025019.73348075,4.86
HEP,CIV,28444206,7097877.919494059,24.95
HEP,CMR,28608129,6978335.970792925,24.39
HEP,COD,98151951,25389885.514827322,25.87
HEP,COG,5940746,1031040.9267330447,17.36
HEP,COK,17566,1672.1024159427488,9.52
HEP,COL,51672846,6808402.083130939,13.18
HEP,COM,926492,117020.56117244609,12.63
HEP,CPV,573322,60476.665020065724,10.55
HEP,CRI,5223972,600414.4332228976,11.49
HEP,CUB,11291378,383431.60316031135,3.4
HEP,CYP,1230792,137678.05730201243,11.19
HEP,CZE,10745888,1134351.715260879,10.56
HEP,DEU,83774541,6030736.279986057,7.2
HEP,DJI,1029701,176889.32443277512,17.18
HEP,DMA,72514,10217.387937564992,14.09
HEP,DNK,5856937,329832.32549645525,5.63
HEP,DOM,11155917,1652460.1445577773,14.81
HEP,DZA,46053477,6715484.055787605,14.58
HEP,ECU,18324151,2904302.037150563,15.85
HEP,EGY,108031556,10001298.002024496,9.26
HEP,ERI,3727656,408102.6185320936,10.95
HEP,ESP,46679284,3790686.449420632,8.12
HEP,EST,1317216,171127.298551658,12.99
HEP,ETH,123771387,30286450.914875574,24.47
HEP,FIN,5560627,424647.76053689356,7.64
HEP,FJI,916131,99312.35543306822,10.84
HEP,FRA,65745189,6864392.75874829,10.44
HEP,FSM,118708,26794.796871814237,22.57
HEP,GAB,2383905,631868.5346030422,26.51
HEP,GBR,68765935,5573711.706657681,8.11
HEP,GEO,3956337,429491.0607587896,10.86
HEP,GHA,33062741,3416487.4438079894,10.33
HEP,GIN,14238716,4349465.5277693225,30.55
HEP,GMB,2631251,359832.9838253348,13.68
HEP,GNB,2111612,349120.28058142075,16.53
HEP,GNQ,1543389,451178.86908647424,29.23
HEP,GRC,10261734,1171543.049713421,11.42
HEP,GRD,113903,17580.603896992023,15.43
HEP,GTM,18917714,3222204.04243902,17.03
HEP,GUY,797711,62328.291614947244,7.81
HEP,HND,10379104,1643450.186518469,15.83
HEP,HRV,4037691,457245.30297317746,11.32
HEP,HTI,11817963,2909067.6641070466,24.62
HEP,HUN,9576767,891008.3089727126,9.3
HEP,IDN,281844348,45082578.21365818,16
HEP,IND,1419655800,169711527.86846846,11.95
HEP,IRL,5051614,621743.6515476673,12.31
HEP,IRN,86975821,5953809.442788179,6.85
HEP,IRQ,43170808,7731275.336797647,17.91
HEP,ISL,347380,36509.81209656996,10.51
HEP,ISR,9055151,530809.7902139779,5.86
HEP,ITA,60147515,5646867.333434655,9.39
HEP,JAM,2995999,326159.62858719466,10.89
HEP,JOR,10312321,1527503.2478626547,14.81
HEP,JPN,125081316,6400079.380922619,5.12
HEP,KAZ,19407012,1741486.8793174615,8.97
HEP,KEN,57458890,15092980.896154072,26.27
HEP,KGZ,6824517,919644.9673121421,13.48
HEP,KHM,17385668,2863748.3541238443,16.47
HEP,KIR,125501,20884.511829193016,16.64
HEP,KNA,54175,6730.194718943548,12.42
HEP,KOR,51343973,2650802.8814493096,5.16
HEP,KWT,4427849,493944.4476300339,11.16
HEP,LAO,7580608,1810687.281598105,23.89
HEP,LBN,6585116,1278460.6377509043,19.41
HEP,LBR,5432272,911491.9365288176,16.78
HEP,LBY,7118656,1587682.7714858341,22.3
HEP,LCA,185771,27531.43422254477,14.82
HEP,LKA,21648987,2250370.7060802486,10.39
HEP,LSO,2192400,362645.68374496815,16.54
HEP,LTU,2636852,287263.65043700335,10.89
HEP,LUX,648973,52651.316702215016,8.11
HEP,LVA,1831650,167458.86420526728,9.14
HEP,MAR,38193551,3157337.4373513716,8.27
HEP,MCO,40042,4088.456975140529,10.21
HEP,MDA,4001345,538590.6251659855,13.46
HEP,MDG,29942591,7138218.594536049,23.84
HEP,MDV,534669,55536.740329741566,10.39
HEP,MEX,132833768,13113852.94741183,9.87
HEP,MHL,60520,12037.870288394734,19.89
HEP,MKD,2079337,375414.8376352455,18.05
HEP,MLI,22105727,4911586.313430096,22.22
HEP,MLT,445228,52335.04348003511,11.75
HEP,MMR,55663658,7163169.766741049,12.87
HEP,MNE,627766,160412.69120626655,25.55
HEP,MNG,3424876,227603.87368433495,6.65
HEP,MOZ,34034812,5791829.60054428,17.02
HEP,MRT,5030233,996299.0233810529,19.81
HEP,MUS,1275657,135836.2977849567,10.65
HEP,MWI,20728157,3213664.541286354,15.5
HEP,MYS,33579264,1705262.8152010196,5.08
HEP,"NAM",2680497,489923.7092587294,18.28
HEP,NER,27066230,5021848.337551302,18.55
HEP,NGA,222182400,45098402.31290644,20.3
HEP,NIC,6855178,586182.1506709142,8.55
HEP,NIU,1619,142.79316716469313,8.82
HEP,NLD,17249269,1554488.0818829837,9.01
HEP,NOR,5558026,365948.5962186941,6.58
HEP,NPL,30769709,4255147.153640853,13.83
HEP,NRU,10918,1427.648637841148,13.08
HEP,NZL,4934976,444735.447999481,9.01
HEP,OMN,5412488,183796.78290160393,3.4
HEP,PAK,233757257,53410267.881806195,22.85
HEP,PAN,4510970,1081985.71538089,23.99
HEP,PER,33966046,7220592.603480115,21.26
HEP,PHL,113964103,29147449.685894124,25.58
HEP,PLW,18281,2418.5317068601803,13.23
HEP,PNG,9466431,2862595.953557292,30.24
HEP,POL,37674031,5091275.752535285,13.51
HEP,PRK,26089814,2750070.224289154,10.54
HEP,PRT,10114017,805011.5736443645,7.96
HEP,PRY,7391010,986330.1252959525,13.34
HEP,QAT,3028940,199429.85891585486,6.58
HEP,ROU,18944132,2708568.1909372415,14.3
HEP,RUS,145628574,6220711.753175308,4.27
HEP,RWA,13924498,1337236.5847460597,9.6
HEP,SAU,36329422,3405155.9652816565,9.37
HEP,SDN,47095255,7041070.264414648,14.95
HEP,SEN,18116526,3550618.9760463247,19.6
HEP,SGP,5990292,419721.79423798324,7.01
HEP,SLB,738416,121063.77253548846,16.4
HEP,SLE,8472212,1394231.7570972743,16.46
HEP,SLV,6581790,1092741.603099296,16.6
HEP,SMR,34153,5150.718880508157,15.08
HEP,SOM,17339387,5269976.908733268,30.39
HEP,SRB,8604998,999588.5078828533,11.62
HEP,SSD,11891023,3471534.6575795272,29.19
HEP,STP,232132,29997.129241510214,12.92
HEP,SUR,601750,109429.15519967864,18.19
HEP,SVK,5458099,563584.9238404514,10.33
HEP,SVN,2076868,216843.81590379254,10.44
HEP,SWE,10275854,637893.2043317485,6.21
HEP,SWZ,1197512,194032.79667623152,16.2
HEP,SYC,99912,11798.049383408323,11.81
HEP,SYR,20638284,5205508.461067765,25.22
HEP,TCD,17921183,5431657.432125308,30.31
HEP,TGO,8886635,2093284.139577036,23.56
HEP,THA,70182829,6357163.261123055,9.06
HEP,TJK,10161632,1192123.3366177976,11.73
HEP,TKM,6283194,584579.1237154976,9.3
HEP,TLS,1395057,273307.0425045421,19.59
HEP,TON,108663,11879.694725583966,10.93
HEP,TTO,1409175,206350.97046221487,14.64
HEP,TUN,12151571,1700047.532191439,13.99
HEP,TUR,85957260,8102999.565878276,9.43
HEP,TUV,12211,2014.1970949507484,16.49
HEP,TZA,65136238,11319675.106684094,17.38
HEP,UGA,49700758,8621952.769647915,17.35
HEP,UKR,42911306,7312265.703248284,17.04
HEP,URY,3506374,329191.1361492591,9.39
HEP,USA,336679231,29591095.29463085,8.79
